"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 13 03:12:30 UTC 2023","Fri Oct 13 03:12:33 UTC 2023","2251","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Fri Oct 13 03:12:34 UTC 2023","Fri Oct 13 03:12:45 UTC 2023","11450","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Fri Oct 13 02:50:21 UTC 2023","Fri Oct 13 02:50:45 UTC 2023","24232","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Oct 13 03:37:47 UTC 2023","Fri Oct 13 03:37:57 UTC 2023","9513","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Fri Oct 13 02:34:53 UTC 2023","Fri Oct 13 02:35:01 UTC 2023","7863","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Fri Oct 13 02:43:26 UTC 2023","Fri Oct 13 02:43:35 UTC 2023","9594","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Oct 13 02:57:05 UTC 2023","Fri Oct 13 02:57:06 UTC 2023","746","","6. Company Account","","","","9. Review Final Review",""
"passed","Fri Oct 13 03:52:50 UTC 2023","Fri Oct 13 03:53:09 UTC 2023","18780","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Fri Oct 13 03:12:02 UTC 2023","Fri Oct 13 03:12:30 UTC 2023","28152","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Fri Oct 13 03:37:26 UTC 2023","Fri Oct 13 03:37:31 UTC 2023","4847","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Fri Oct 13 03:58:37 UTC 2023","Fri Oct 13 03:58:37 UTC 2023","62","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Fri Oct 13 03:59:17 UTC 2023","Fri Oct 13 03:59:23 UTC 2023","5872","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Fri Oct 13 03:21:52 UTC 2023","Fri Oct 13 03:22:11 UTC 2023","18386","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Fri Oct 13 03:30:04 UTC 2023","Fri Oct 13 03:30:06 UTC 2023","1175","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Oct 13 02:55:56 UTC 2023","Fri Oct 13 02:56:16 UTC 2023","20683","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Fri Oct 13 02:52:27 UTC 2023","Fri Oct 13 02:52:29 UTC 2023","2642","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Oct 13 03:58:08 UTC 2023","Fri Oct 13 03:58:28 UTC 2023","19530","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Fri Oct 13 03:30:02 UTC 2023","Fri Oct 13 03:30:04 UTC 2023","2707","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Oct 13 02:51:53 UTC 2023","Fri Oct 13 02:51:57 UTC 2023","3830","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Oct 13 04:11:09 UTC 2023","Fri Oct 13 04:11:17 UTC 2023","8323","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Fri Oct 13 02:34:53 UTC 2023","Fri Oct 13 02:34:53 UTC 2023","228","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Fri Oct 13 02:55:41 UTC 2023","Fri Oct 13 02:55:52 UTC 2023","10613","","6. Company Account","","","","2. Create a Company Account",""
"passed","Fri Oct 13 03:19:37 UTC 2023","Fri Oct 13 03:19:37 UTC 2023","383","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Fri Oct 13 03:12:45 UTC 2023","Fri Oct 13 03:12:46 UTC 2023","725","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Fri Oct 13 03:50:50 UTC 2023","Fri Oct 13 03:50:54 UTC 2023","4282","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Fri Oct 13 02:51:22 UTC 2023","Fri Oct 13 02:51:28 UTC 2023","6171","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Oct 13 02:46:04 UTC 2023","Fri Oct 13 02:46:08 UTC 2023","3756","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Fri Oct 13 03:12:33 UTC 2023","Fri Oct 13 03:12:34 UTC 2023","1193","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Fri Oct 13 02:33:02 UTC 2023","Fri Oct 13 02:33:14 UTC 2023","12162","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Fri Oct 13 02:32:31 UTC 2023","Fri Oct 13 02:32:34 UTC 2023","2447","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Oct 13 03:50:47 UTC 2023","Fri Oct 13 03:50:50 UTC 2023","2463","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Fri Oct 13 03:53:27 UTC 2023","Fri Oct 13 03:53:28 UTC 2023","1139","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Fri Oct 13 02:46:17 UTC 2023","Fri Oct 13 02:47:12 UTC 2023","55512","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Fri Oct 13 03:11:51 UTC 2023","Fri Oct 13 03:12:02 UTC 2023","11268","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Fri Oct 13 02:35:01 UTC 2023","Fri Oct 13 02:35:02 UTC 2023","771","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Fri Oct 13 03:58:42 UTC 2023","Fri Oct 13 03:59:12 UTC 2023","30436","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Fri Oct 13 02:45:04 UTC 2023","Fri Oct 13 02:45:08 UTC 2023","4079","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Oct 13 02:40:16 UTC 2023","Fri Oct 13 02:40:16 UTC 2023","528","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Oct 13 03:19:37 UTC 2023","Fri Oct 13 03:19:57 UTC 2023","19248","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Fri Oct 13 03:11:34 UTC 2023","Fri Oct 13 03:11:50 UTC 2023","16476","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Fri Oct 13 03:53:28 UTC 2023","Fri Oct 13 03:53:29 UTC 2023","1060","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Fri Oct 13 03:53:24 UTC 2023","Fri Oct 13 03:53:27 UTC 2023","3190","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Fri Oct 13 02:32:23 UTC 2023","Fri Oct 13 02:32:31 UTC 2023","7993","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Fri Oct 13 02:24:18 UTC 2023","Fri Oct 13 02:24:18 UTC 2023","49","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Fri Oct 13 02:25:43 UTC 2023","Fri Oct 13 02:25:54 UTC 2023","11368","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Fri Oct 13 02:25:54 UTC 2023","Fri Oct 13 02:26:25 UTC 2023","30735","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Fri Oct 13 02:25:08 UTC 2023","Fri Oct 13 02:25:17 UTC 2023","9753","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Fri Oct 13 04:11:42 UTC 2023","Fri Oct 13 04:11:44 UTC 2023","1486","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Fri Oct 13 03:22:11 UTC 2023","Fri Oct 13 03:22:12 UTC 2023","1527","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Fri Oct 13 02:45:09 UTC 2023","Fri Oct 13 02:46:04 UTC 2023","55151","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Fri Oct 13 02:43:01 UTC 2023","Fri Oct 13 02:43:04 UTC 2023","3175","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Oct 13 03:29:47 UTC 2023","Fri Oct 13 03:30:01 UTC 2023","14419","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Fri Oct 13 02:26:58 UTC 2023","Fri Oct 13 02:27:02 UTC 2023","3489","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Fri Oct 13 03:37:21 UTC 2023","Fri Oct 13 03:37:24 UTC 2023","2938","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Fri Oct 13 02:42:33 UTC 2023","Fri Oct 13 02:42:53 UTC 2023","19736","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Oct 13 04:01:29 UTC 2023","Fri Oct 13 04:01:38 UTC 2023","9346","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Fri Oct 13 02:25:17 UTC 2023","Fri Oct 13 02:25:43 UTC 2023","25598","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Fri Oct 13 02:47:12 UTC 2023","Fri Oct 13 02:47:16 UTC 2023","3504","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Fri Oct 13 02:37:51 UTC 2023","Fri Oct 13 02:37:53 UTC 2023","2212","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Oct 13 03:30:06 UTC 2023","Fri Oct 13 03:30:35 UTC 2023","29234","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Fri Oct 13 04:01:38 UTC 2023","Fri Oct 13 04:01:41 UTC 2023","2720","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Fri Oct 13 02:56:46 UTC 2023","Fri Oct 13 02:57:02 UTC 2023","15835","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Fri Oct 13 03:59:12 UTC 2023","Fri Oct 13 03:59:17 UTC 2023","4679","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Fri Oct 13 03:58:37 UTC 2023","Fri Oct 13 03:58:41 UTC 2023","3995","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Fri Oct 13 03:37:24 UTC 2023","Fri Oct 13 03:37:26 UTC 2023","2380","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Fri Oct 13 03:36:58 UTC 2023","Fri Oct 13 03:37:11 UTC 2023","13015","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Fri Oct 13 04:02:26 UTC 2023","Fri Oct 13 04:03:34 UTC 2023","67536","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Fri Oct 13 03:11:50 UTC 2023","Fri Oct 13 03:11:51 UTC 2023","440","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Fri Oct 13 03:53:09 UTC 2023","Fri Oct 13 03:53:15 UTC 2023","5852","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Fri Oct 13 02:38:16 UTC 2023","Fri Oct 13 02:38:24 UTC 2023","7931","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Fri Oct 13 04:00:02 UTC 2023","Fri Oct 13 04:00:04 UTC 2023","2370","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Fri Oct 13 02:51:01 UTC 2023","Fri Oct 13 02:51:22 UTC 2023","21464","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Fri Oct 13 03:22:12 UTC 2023","Fri Oct 13 03:22:17 UTC 2023","4741","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Fri Oct 13 02:24:18 UTC 2023","Fri Oct 13 02:24:29 UTC 2023","10393","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Fri Oct 13 03:34:10 UTC 2023","Fri Oct 13 03:34:59 UTC 2023","48751","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Fri Oct 13 03:37:11 UTC 2023","Fri Oct 13 03:37:15 UTC 2023","3393","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Fri Oct 13 02:57:02 UTC 2023","Fri Oct 13 02:57:05 UTC 2023","3326","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Oct 13 03:43:11 UTC 2023","Fri Oct 13 03:47:26 UTC 2023","254941","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Fri Oct 13 02:24:29 UTC 2023","Fri Oct 13 02:24:39 UTC 2023","10787","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
